,City,Country,Lat,Lng,Hotel Name
0,ostrovnoy,RU,68.05,39.51,
1,mahebourg,MU,-20.41,57.7,Preskil Island Resort
2,qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
3,zhuhai,CN,40.71,112.04,
4,cape town,ZA,-33.93,18.42,Atlanticview Cape Town Boutique Hotel
5,atuona,PF,-9.8,-139.03,Pension Temetiu Village
6,flinders,AU,-34.58,150.85,Barrack Point Holidays
7,opuwo,,-18.06,13.84,Opuwo Country Lodge
8,tiksi,RU,71.64,128.87,Umka
9,pushkinskiye gory,RU,57.02,28.91,Arina R.
10,aykhal,RU,65.95,111.51,Hotel Astoria
11,castro,CL,-42.48,-73.76,Hotel Centro de Ocio Chiloé
12,avarua,CK,-21.21,-159.78,The Edgewater Resort and Spa
13,saskylakh,RU,71.97,114.09,
14,constitucion,MX,23.99,-104.67,Hotel Gobernador
15,albany,US,42.65,-73.75,Renaissance Albany Hotel
16,vilyuysk,RU,63.75,121.63,Gostinitsa Viliuisk
17,ushuaia,AR,-54.81,-68.31,Los Cauquenes Resort & Spa
18,bambous virieux,MU,-20.34,57.76,Laguna Beach Hotel & Spa
19,kodinsk,RU,58.6,99.18,Отель Купеческий
20,teknaf,BD,20.86,92.31,Milky Resort
21,busselton,AU,-33.64,115.35,Esplanade Hotel
22,ambon,FR,47.55,-2.56,Domaine de Rochevilaine
23,maragogi,BR,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
24,fallon,US,46.84,-105.12,
25,kantang,TH,7.42,99.52,Kantang Loftel
26,colonelganj,IN,27.13,81.7,AMAAN'S HOUSE
27,punta arenas,CL,-53.16,-70.91,Hotel Plaza
28,rikitea,PF,-23.12,-134.97,Pension Maro'i
29,new norfolk,AU,-42.78,147.06,The Woodbridge
30,gobabis,,-22.45,18.97,Goba Lodge
31,qingdao,CN,36.09,120.35,The Westin Qingdao
32,port hardy,CA,50.7,-127.42,Pier Side Landing
33,arman,RU,59.7,150.17,
34,mamakan,RU,57.82,114.02,
35,bethel,US,60.79,-161.76,Long House Hotel Bethel
36,clinton,US,41.84,-90.19,Holiday Inn Express & Suites Clinton
37,varhaug,NO,58.61,5.65,Huset ved havet
38,ayan,TR,40.67,33.6,
39,mayor pablo lagerenza,PY,-19.93,-60.77,
40,hermanus,ZA,-34.42,19.24,The Marine Hermanus
41,torbay,CA,47.66,-52.73,Best Western Plus St. John's Airport Hotel and Suites
42,yellowknife,CA,62.45,-114.38,The Explorer Hotel
43,kruisfontein,ZA,-34.0,24.73,
44,puerto ayora,EC,-0.74,-90.35,Angermeyer Waterfront Inn
45,rosita,NI,13.92,-84.4,Hotel Rosita
46,beloha,MG,-25.17,45.06,
47,port elizabeth,US,39.31,-74.98,
48,port alfred,ZA,-33.59,26.89,The Halyards Hotel
49,garchitorena,PH,13.88,123.7,
50,kodiak,US,39.95,-94.76,
51,mar del plata,AR,-46.43,-67.52,Hotel Caleta Olivia
52,taybad,IR,34.74,60.78,سه طبقه خیرخواه
53,cabo san lucas,MX,22.89,-109.91,Waldorf Astoria Los Cabos Pedregal
54,tiarei,PF,-17.53,-149.33,Le Rocher de Tahiti
55,khatanga,RU,71.98,102.47,
56,pisco,PE,-13.71,-76.2,Embassy Beach
57,kolyvan,RU,55.31,82.74,
58,hofn,IS,64.25,-15.21,Milk Factory
59,bontang,ID,0.12,117.47,Hotel Garuda Bontang
60,sault sainte marie,CA,46.49,-84.36,Kewadin Casinos – Sault Ste. Marie
61,zhigansk,RU,66.77,123.37,
62,thompson,CA,55.74,-97.86,Burntwood Hotel
63,pevek,RU,69.7,170.27,Munitsipal'naya Gostinitsa
64,nanortalik,GL,60.14,-45.24,Hotel Kap Farvel
65,bilibino,RU,68.06,166.44,Profilaktoriy Baes
66,dikson,RU,73.51,80.55,
67,hambantota,LK,6.12,81.12,The Peacock Beach Hotel Hambantota
68,beja,PT,38.02,-7.87,Pousada Convento Beja
69,fortuna,ES,38.18,-1.13,Balneario de Leana
70,ponta do sol,BR,-20.63,-46.0,Hotel Escarpas do Lago
71,qasigiannguit,GL,68.82,-51.19,Qasigiannguit
72,butaritari,KI,3.07,172.79,Isles Sunset Lodge
73,virginia beach,US,36.85,-75.98,Oceanaire Resort Hotel
74,hobyo,SO,5.35,48.53,
75,saint george,GR,39.45,22.34,
76,pontes e lacerda,BR,-15.23,-59.33,Plaza Hotel
77,khor,RU,47.88,134.96,Provintsiya
78,crotone,IT,39.09,17.12,ESTES B&B
79,baglung,NP,28.27,83.59,"Hotel Peace Palace, Baglung, Nepal"
80,raglan,NZ,-37.8,174.87,Raglan Harbour View Hotel
81,jamestown,AU,-33.21,138.6,Jamestown Hotel
82,sur,OM,22.57,59.53,Sur Plaza Hotel
83,araouane,ML,18.9,-3.53,
84,emerald,AU,-23.53,148.16,Emerald Star Hotel
85,launceston,AU,-41.43,147.14,Art Hotel on York
86,nikolskoye,RU,59.7,30.79,Tourist House - Sablino
87,ambilobe,MG,-13.19,49.05,Hotel National
88,cidreira,BR,-30.17,-50.22,Pousada Rosa
89,ternate,PH,14.29,120.72,
90,tarauaca,BR,-8.16,-70.77,PRO LINK HOTEL
91,bella vista,AR,-28.51,-59.05,Hotel Río Arriba
92,xichang,CN,27.88,102.25,Holiday Inn Express Xichang City Center
93,antioch,US,38.0,-121.81,Best Western Plus Delta Inn & Suites
94,najran,SA,17.54,44.22,Park Inn by Radisson Najran
95,agirish,RU,61.92,63.02,
96,mataura,NZ,-46.19,168.86,Falls Hotel
97,katsuura,JP,33.93,134.5,
98,shalinskoye,RU,55.72,93.76,"Baza Otdykha ""Raukhova Mel'nitsa"""
99,barrow,AR,-38.31,-60.23,
100,sorong,ID,-0.86,131.25,The Belagri Hotel And Convention Sorong
101,kingston,CA,44.23,-76.48,Delta Hotels by Marriott Kingston Waterfront
102,ketchikan,US,55.34,-131.65,Inn at Creek Street
103,kapaa,US,22.08,-159.32,Hilton Garden Inn Kauai Wailua Bay
104,mbigou,GA,-1.9,11.91,
105,yakeshi,CN,49.28,120.73,Qian Hao Hotel
106,hilo,US,19.71,-155.08,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
107,whitehorse,CA,60.72,-135.06,Westmark Hotel
108,bonthe,SL,7.53,-12.5,Bonthe Holiday Village
109,bara,NG,10.41,10.6,
110,lompoc,US,34.64,-120.46,Embassy Suites by Hilton Lompoc Central Coast
111,port blair,IN,11.67,92.75,Sinclairs Bayview Port Blair
112,bredasdorp,ZA,-34.53,20.04,Bredasdorp Country Manor
113,thinadhoo,MV,0.53,72.93,
114,koumac,NC,-20.56,164.28,Hotel Karem Bay
115,faanui,PF,-16.48,-151.75,Le Méridien Bora Bora
116,xam nua,LA,20.42,104.04,Keochinda hotel
117,east london,ZA,-33.02,27.91,Premier Hotels & Resorts
118,sao filipe,CV,14.9,-24.5,Hotel Xaguate
119,deputatskiy,RU,69.3,139.9,
120,chuy,UY,-33.69,-53.46,Turis Firper Hotel
121,sitka,US,37.17,-99.65,
122,forio,IT,40.73,13.86,Hotel Le Canne
123,russkaya polyana,RU,53.78,73.88,Лагуна
124,san felipe,CL,-32.75,-70.73,Hotel Reinares
125,arraial do cabo,BR,-22.97,-42.02,Hotel da Canoa
126,margate,AU,-43.03,147.26,Villa Howden
127,aklavik,CA,68.22,-135.01,Sundog Inn
128,lokosovo,RU,61.13,74.84,
129,paita,PE,-5.09,-81.11,Hotel Náutico de Paita
130,cravo norte,CO,6.3,-70.2,Hotel El Merecure
131,motygino,RU,58.18,94.69,Gostinitsa Ip Zabirov
132,west wendover,US,40.74,-114.07,The Wendover Nugget Hotel & Casino
133,adrar,DZ,27.87,-0.29,Hôtel TAKIALT
134,melfi,IT,41.0,15.66,Hotel Castagneto
135,kibaya,RW,-2.2,30.56,Kibungo - Centre St. Joseph Guest House
136,iqaluit,CA,63.75,-68.52,Accommodations By The Sea
137,lavrentiya,RU,65.58,-170.99,
138,morondava,MG,-20.3,44.28,Palissandre Cote Ouest resort & SPA
139,vaini,IN,15.34,74.49,Dandeli Dreams Jungle resorts
140,georgetown,GY,6.8,-58.16,Guyana Marriott Hotel Georgetown
141,sanchazi,CN,30.43,103.62,
142,sarai mir,IN,26.02,82.92,Tube well mirza rehan
143,yichun,CN,47.72,128.88,Longyuan Northern Base
144,plainview,US,34.18,-101.71,Quality Inn
145,comodoro rivadavia,AR,-45.87,-67.48,WAM Hotel Patagónico
146,nardaran,AZ,40.56,50.01,
147,nagua,DO,19.37,-69.85,Hotel Cambri
148,ibra,OM,22.69,58.55,تفضل بيت ضيافة Geust house tafadal
149,ganzhou,CN,25.86,114.93,Grand Skylight International Hotel Ganzhou
150,talnakh,RU,69.49,88.39,Talnakh Hotel
151,coahuayana,MX,18.62,-100.35,
152,sinnamary,GF,5.38,-52.96,L'oiseau de Paradis
153,porto novo,BR,-23.68,-45.44,Hotel Pousada Paradise
154,havoysund,NO,71.0,24.66,Havøysund Hotel & Rorbuer
155,bjornevatn,NO,69.67,29.98,Snowhotel Kirkenes
156,narsaq,GL,60.91,-46.05,Hotel Narsaq
157,charlestown,US,41.38,-71.64,Phil & Ann's Sunset Motel
158,trat,TH,12.25,102.51,Avada Hotel
159,manado,ID,1.49,124.85,Four Points by Sheraton Manado
160,trapani,IT,38.02,12.54,Hotel San Michele
161,sao joao da barra,BR,-21.64,-41.05,Pousada Cassino
162,saint-philippe,CA,45.36,-73.48,
163,haines junction,CA,60.75,-137.51,Glacier View Inn
164,kathmandu,NP,27.71,85.32,Hyatt Regency Kathmandu
165,norman wells,CA,65.28,-126.83,Heritage Hotel
166,brainerd,US,46.36,-94.2,Holiday Inn Express & Suites Brainerd-Baxter
167,yumen,CN,40.29,97.04,Yumen Oriental Hotel
168,straumen,NO,63.87,11.3,Jægtvolden Fjordhotell
169,camacha,PT,33.08,-16.33,Vila Baleira Resort
170,teya,MX,21.05,-89.07,
171,vitim,RU,59.44,112.57,
172,antsohihy,MG,-14.88,47.99,Hotel Belle Vue
173,kavieng,PG,-2.57,150.8,Nusa Island Retreat
174,la esperanza,HN,14.31,-88.18,Huella Lenca
175,clyde river,CA,70.47,-68.59,Naujaaraaluit – Clyde River Hotel
176,nador,MA,35.17,-2.93,"Hotel Marchica Lagoon Resort, Nador Morocco"
177,keflavik,IS,64.0,-22.56,Hotel Keflavik
178,faya,SA,18.39,42.45,
179,chokurdakh,RU,70.62,147.9,
180,le marin,MQ,14.47,-60.87,Club Med Les Boucaniers - Martinique
181,tasiilaq,GL,65.61,-37.64,Hotel Angmagssalik
182,udachnyy,RU,66.42,112.4,
183,monrovia,LR,6.33,-10.8,The Royal Grand Hotel
184,burnie,AU,-41.05,145.91,Beach Hotel Burnie
185,kaitangata,NZ,-46.28,169.85,
186,yamada,JP,36.58,137.08,越中八尾ベースOYATSU
187,mackay,CA,53.65,-115.58,
188,lagoa,PT,37.14,-8.45,Pestana Palm Gardens
189,bluff,AU,-23.58,149.07,Bluff Hotel
190,saint-georges,CA,46.12,-70.67,"Le Georgesville, centre de congrès et hôtel"
191,naryan-mar,RU,67.67,53.09,Polar Capital
192,port hedland,AU,-20.31,118.58,ibis Styles Port Hedland
193,hithadhoo,MV,-0.6,73.08,Pebbles Inn
194,beringovskiy,RU,63.05,179.32,
195,codrington,AU,-28.95,153.24,Coraki Hotel
196,ilulissat,GL,69.22,-51.1,Hotel Arctic
197,coquimbo,CL,-29.95,-71.34,Enjoy Coquimbo Hotel de la Bahía
198,grand baie,MU,-20.02,57.58,Mauricia Beachcomber Resort & Spa
199,kaabong,UG,3.51,34.14,KAABONG RESORT HOTEL
200,lazaro cardenas,MX,28.39,-105.62,Hotel Rincon Campestre
201,luanda,AO,-8.83,13.24,Golden Park Hotel
202,rio gallegos,AR,-51.62,-69.22,Hotel Patagonia
203,namatanai,PG,-3.66,152.44,Namatanai Hotel
204,severo-kurilsk,RU,50.68,156.12,Kak Doma
205,hutang,CN,29.22,119.85,
206,namioka,JP,40.71,140.59,
207,mnogovershinnyy,RU,53.94,139.92,
208,san rafael del sur,NI,11.85,-86.44,
209,paamiut,GL,61.99,-49.67,Yeet Hotel
210,ribeira grande,PT,38.52,-28.7,Quinta Das Buganvílias
211,labuhan,ID,-2.54,115.51,
212,mount gambier,AU,-37.83,140.78,Commodore on the Park
213,pesca,CO,5.56,-73.05,Posada el portal de la Loma
214,mount isa,AU,-20.73,139.49,Abacus Motel
215,le port,FR,42.87,1.37,Les Deux Vélos Cycle Lodge
216,hobart,AU,-42.88,147.33,Hotel Grand Chancellor Hobart
217,dublin,IE,53.35,-6.26,Clontarf Castle Hotel
218,salalah,OM,17.01,54.1,Al Baleed Resort Salalah by Anantara
219,beisfjord,NO,68.38,17.6,
220,ust-tsilma,RU,65.44,52.15,
221,marawi,PH,8.0,124.29,Marawi Resort Hotel
222,samana,EC,0.12,-76.97,LA QUINTA PRIMAVERA
223,koronowo,PL,53.31,17.94,
224,ekimchan,RU,53.07,132.94,
225,carnarvon,ZA,-30.97,22.13,Lord Carnarvon Guesthouse
226,saint-denis,FR,48.94,2.36,L'imprimerie hôtel
227,tabas,IR,33.6,56.92,Amir hotel
228,san pedro,AR,-33.68,-59.66,Howard Johnson Hotel & Marinas San Pedro Resort
229,aketi,CD,2.74,23.78,
230,moses lake,US,47.13,-119.28,Best Western Plus Lake Front Hotel
231,mocuba,MZ,-16.84,36.99,ROYAL STAR GUEST HOUSE
232,hamilton,CA,43.26,-79.87,Sheraton Hamilton Hotel
233,san juan del sur,NI,11.25,-85.87,Dreamsea Surf Resort Nicaragua
234,katobu,ID,-4.94,122.53,Balai Desa Kafofo
235,banjar,ID,-7.37,108.54,RedDoorz @ Cisaga
236,provideniya,RU,64.42,-173.23,
237,andradas,BR,-22.07,-46.57,Hotel Dela Inn
238,bose,IT,45.46,8.01,Casa del Movimento Lento
239,manzhouli,CN,49.6,117.43,Manzhouli Shangri-La Hotel
240,lockhart,AU,-35.22,146.72,Commercial Hotel
241,anadyr,RU,64.73,177.51,Chukotka hotel
242,bandarbeyla,SO,9.49,50.81,REER XOOSHLE GROUP
243,buchach,UA,49.06,25.39,Mandry
244,pasni,PK,25.26,63.48,3G hotel pasni
245,tuktoyaktuk,CA,69.44,-133.03,Smitty's Bed and Breakfast
246,okha,RU,53.59,142.95,Empire Hotel
247,puerto escondido,MX,15.86,-97.07,Aldea del Bazar Hotel and Spa
248,ancud,CL,-41.87,-73.83,Panamericana Hotel Ancud
249,lebu,ET,8.96,38.73,Damu Hotel
250,port lincoln,AU,-34.72,135.86,Hotel Boston
251,leningradskiy,RU,69.38,178.42,
252,kajaani,FI,64.22,27.73,Julian palvelu
253,murray bridge,AU,-35.12,139.28,Adelaide Road Motor Lodge
254,rocha,UY,-34.48,-54.34,Beleza Pura B&B
255,tagusao,PH,9.19,117.81,
256,cobija,BR,-11.02,-68.77,Brasiléia Palace Hotel
257,port-gentil,GA,-0.72,8.78,Hotel du Parc
258,te anau,NZ,-45.41,167.72,Lakefront Lodge
259,hami,CN,42.84,93.51,Hehe Commercial Hotel
260,pahrump,US,36.21,-115.98,Pahrump Nugget
261,fort frances,CA,48.61,-93.4,Copper River Inn
262,umtata,ZA,-31.59,28.78,Mayfair Hotel
263,markova,RU,52.21,104.21,Hotel Soyuz
264,saint-leu,RE,-21.15,55.28,Iloha Seaview Hotel
265,jalu,LY,29.03,21.55,Jalu Hotel
266,alice springs,AU,-23.7,133.88,DoubleTree by Hilton Hotel Alice Springs
267,zaraza,VE,9.35,-65.33,El Gran Hotel Unare
268,dingle,PH,11.0,122.67,
269,bodden town,KY,19.28,-81.25,Turtle Nest Inn
270,griffith,AU,-34.29,146.06,The Griff Motel
271,coihaique,CL,-45.58,-72.07,Hotel Dreams de la Patagonia
272,sao felix do xingu,BR,-6.64,-51.99,Dumont Palace Hotel
273,santa rosa,AR,-36.62,-64.29,Hotel Mercure Santa Rosa La Pampa
